,0,1,2,3,4,5,6,7,8,9
0,police,city,richter,scale,news,damage,earthquake,quake,people,said
1,trade,committee,senate,new,time,abortion,bush,president,souter,said
2,bank,baker,president,company,years,bush,group,percent,new,said
3,york,shares,board,million,exchange,trading,stocks,index,market,stock
4,awards,actress,mother,years,award,best,new,won,said,year
5,force,nations,kuwait,iraq,president,fitzwater,states,bush,united,said
6,christian,moslem,fighting,militia,syrian,hezbollah,beirut,lebanon,aoun,said
7,chairman,quarter,vice,corp,sales,year,president,million,said,company
8,house,subcommittee,federal,annunzio,did,white,new,president,bush,said
9,illegal,radio,people,program,new,department,service,returns,irs,said
10,tuesday,record,william,students,school,city,john,york,new,said
11,israeli,shooting,bank,bus,told,man,soldiers,army,police,said
12,river,state,homes,north,water,officials,area,people,miles,said
13,arms,president,administration,navy,military,house,pentagon,reagan,said,defense
14,estimated,people,art,government,time,year,national,war,million,said
15,plan,government,say,control,public,national,new,state,people,said
16,goods,growth,year,japan,said,billion,economic,economy,trade,percent
17,steel,american,researchers,say,new,year,aids,percent,people,said
18,military,foreign,iran,embassy,iraqi,gulf,saudi,kuwait,iraq,said
19,received,medical,old,shot,family,angeles,los,year,police,said
20,said,legislation,tax,budget,congress,committee,sen,rep,house,senate
21,states,nato,bush,german,said,europe,west,united,soviet,germany
22,market,treasury,bond,said,prices,point,year,rate,rates,percent
23,week,year,north,lake,spacecraft,tons,million,water,magellan,said
24,crisis,gulf,baker,saddam,kuwait,iraqi,bush,president,said,iraq
25,trading,index,prices,dollar,exchange,said,yen,points,market,stock
26,house,issue,congress,policy,jackson,dukakis,president,trade,bush,said
27,years,guilty,case,trial,prison,said,judge,court,attorney,charges
28,company,report,symphony,united,million,rural,people,plant,homeless,said
29,program,ratings,homes,new,week,cbs,abc,million,said,nbc
30,home,world,going,think,just,years,don,like,people,said
31,telescope,military,mission,ground,satellite,just,air,shuttle,launch,said
32,mother,child,years,day,films,morgan,office,new,city,said
33,vote,said,members,national,political,parties,independence,election,elections,party
34,ireland,people,bombing,northern,security,ira,british,killed,police,said
35,chief,leaders,ortega,president,military,mrs,police,chamorro,government,said
36,letter,walsh,gore,north,gephardt,jackson,presidential,dukakis,campaign,said
37,don,art,use,used,women,training,today,years,year,said
38,degrees,central,rain,texas,inches,snow,new,northern,southern,fair
39,buyout,based,share,stock,new,corp,billion,company,offer,said
40,president,white,government,said,apartheid,black,mandela,african,africa,south
41,filed,plan,pay,court,drexel,trust,company,claims,million,said
42,force,forces,people,military,killed,soldiers,troops,million,army,said
43,american,fda,approval,companies,company,trade,device,new,heart,said
44,countries,korea,president,government,union,states,united,gorbachev,said,soviet
45,education,parents,schools,university,teachers,student,board,said,students,school
46,york,new,ounce,said,london,bid,gold,yen,late,dollar
47,foreign,states,today,country,united,president,bush,poll,said,percent
48,home,new,greyhound,april,company,group,students,day,ms,said
49,new,presidential,republican,democratic,primary,bush,dukakis,campaign,jackson,said
50,women,northwest,farmer,hunt,president,years,office,mrs,reagan,said
51,monday,health,pilot,safety,government,labor,officials,workers,smoking,said
52,committee,people,president,leader,congress,communist,government,said,gorbachev,party
53,city,prison,friday,officials,news,arrest,authorities,arrested,police,said
54,states,president,united,troops,noriega,rebels,military,panama,said,government
55,federal,panel,department,appeals,decision,city,environmental,state,court,said
56,said,summit,tass,reagan,mikhail,soviets,union,moscow,gorbachev,soviet
57,companies,children,new,aspirin,used,wine,percent,health,care,said
58,mrs,convicted,prison,old,wife,year,court,murder,death,said
59,minister,east,west,france,european,thatcher,britain,japan,soviet,said
60,barrel,gasoline,crude,higher,prices,lower,oil,cent,futures,cents
61,hours,launch,flight,discovery,time,report,nasa,shuttle,space,said
62,york,life,family,dog,years,old,editor,new,year,said
63,political,united,democracy,india,official,country,people,china,said,government
64,people,campaign,democratic,rights,percent,black,year,state,vote,said
65,drug,ruling,barry,jury,attorney,judge,trial,case,said,court
66,accidents,john,accident,rate,africa,pope,people,south,years,said
67,roh,hostages,guard,officials,coast,korean,korea,south,north,said
68,study,center,people,medical,owen,health,water,drug,state,said
69,japanese,television,safety,people,world,president,trade,day,american,said
70,today,cabinet,democratic,new,political,opposition,minister,government,said,party
71,south,policy,transportation,officials,city,state,air,california,said,new
72,people,law,money,year,house,time,national,issue,creek,said
73,demonstrators,communist,german,germany,people,east,west,said,police,government
74,judge,decision,contract,million,court,federal,board,insurance,company,said
75,meeting,vatican,political,solidarity,years,asked,roman,catholic,church,said
76,airport,airline,pilots,flight,airlines,eastern,aircraft,plane,said,air
77,large,customers,mark,driving,year,stage,new,food,million,said
78,cigarettes,doctor,drug,years,doctors,children,disease,year,health,said
79,president,new,government,group,years,military,people,human,rights,said
80,rebels,sandinistas,nicaraguan,sandinista,government,said,contras,contra,nicaragua,aid
81,filing,court,stores,employees,filed,pay,company,law,new,said
82,family,enforcement,federal,travel,taxes,american,states,law,said,drug
83,reported,million,quarter,increase,rose,month,said,rate,year,percent
84,japan,prices,iran,production,help,world,countries,opec,said,oil
85,countries,meeting,pope,today,jewish,war,president,world,visit,said
86,sales,plant,percent,strike,year,contract,said,chrysler,union,workers
87,authorities,city,injured,shot,hospital,night,killed,people,police,said
88,bank,agency,gaza,arab,israel,west,israeli,german,east,said
89,minister,east,occupied,arab,palestinian,peace,shamir,israeli,said,israel
90,city,years,miss,told,trying,family,today,did,day,said
91,just,reporters,like,new,day,friday,state,don,time,said
92,savings,fund,loan,money,debt,year,bank,said,billion,million
93,prices,percent,billion,drought,farm,million,corn,agriculture,said,farmers
94,percent,administration,spending,house,year,congress,new,budget,billion,said
95,computer,evening,long,red,mars,taylor,space,like,million,said
96,time,claims,state,tax,friday,department,government,estate,federal,said
97,parents,wife,children,police,meese,hospital,family,year,mrs,said
98,problems,report,government,plant,energy,program,nuclear,environmental,department,said
99,governor,vice,presidential,president,bentsen,democratic,republican,campaign,dukakis,bush
