,0,1,2,3,4,5,6,7,8,9
0,agriculture,prices,billion,farmers,drought,percent,tons,said,year,million
1,campaign,vote,year,candidates,million,percent,elections,national,president,election
2,support,president,new,points,party,political,bush,poll,percent,said
3,later,people,old,inmates,years,new,city,prison,year,said
4,new,investigation,washington,ms,office,sources,general,attorney,meese,said
5,device,like,make,days,time,estate,people,think,heart,said
6,spokesman,officials,forces,fighting,troops,iranian,navy,iran,military,said
7,day,testified,accused,attorney,case,souter,judge,trial,court,said
8,month,increase,report,prices,economy,inflation,said,rate,year,percent
9,crimes,polish,killed,walesa,news,newspaper,security,people,government,said
10,plan,congress,year,tax,spending,said,deficit,billion,bush,budget
11,car,night,beirut,city,aoun,hezbollah,people,man,police,said
12,investors,fraud,money,bloom,government,million,securities,drexel,milken,said
13,attack,air,army,injured,died,accident,killed,people,police,said
14,like,kennedy,american,year,theater,white,old,musical,music,world
15,sen,year,measure,vote,legislation,committee,said,rep,senate,house
16,think,democrats,democratic,new,platform,farm,reagan,administration,jackson,said
17,report,officials,release,friday,spokesman,new,news,los,angeles,said
18,power,republics,economic,reform,soviet,opposition,government,communist,gorbachev,party
19,union,europe,nato,united,berlin,said,east,german,west,germany
20,state,guilty,attorney,jury,charges,case,trial,said,judge,court
21,york,new,ounce,said,bid,london,gold,yen,late,dollar
22,million,barrel,new,gasoline,gallon,prices,crude,said,cents,oil
23,sold,billion,worth,stolen,trust,works,art,million,year,said
24,tell,conference,going,president,newspaper,told,thursday,asked,news,said
25,justice,reed,convicted,state,sentence,years,department,federal,prison,said
26,union,east,united,german,workers,st,chrysler,year,plant,said
27,year,just,city,work,day,mother,years,old,people,said
28,opposition,anti,political,democracy,party,china,people,police,government,said
29,contra,military,nicaragua,panama,talks,aid,chamorro,noriega,said,government
30,persian,saudi,oil,bush,saddam,said,gulf,iraqi,kuwait,iraq
31,soldiers,radio,gaza,palestinians,west,israel,police,army,israeli,said
32,million,dow,issues,rose,trading,exchange,stocks,index,market,stock
33,income,race,time,year,taxes,states,south,tuesday,percent,said
34,reported,state,church,government,pope,city,killed,police,people,said
35,saudi,air,force,forces,troops,pentagon,defense,army,said,military
36,city,office,state,county,church,old,people,year,police,said
37,students,aid,nicaraguan,food,officials,rebels,contra,government,nicaragua,said
38,planes,airline,airlines,pilot,airport,aircraft,air,flight,plane,said
39,share,york,offer,bank,billion,new,million,said,stock,company
40,mikhail,official,agency,tass,union,news,moscow,said,gorbachev,soviet
41,party,war,north,south,communist,korean,korea,union,said,soviet
42,support,white,club,house,meeting,robertson,campaign,president,said,bush
43,agriculture,use,state,federal,program,wildlife,species,environmental,year,said
44,right,water,life,want,children,year,don,like,people,said
45,year,executive,chairman,share,president,billion,corp,million,said,company
46,panama,states,state,white,drug,fitzwater,house,president,bush,said
47,greyhound,new,pilots,company,eastern,said,contract,strike,workers,union
48,supreme,law,board,judge,decision,ruling,school,state,said,court
49,sen,aid,billion,senate,budget,congress,bush,defense,committee,said
50,share,futures,index,trading,yen,said,points,exchange,market,stock
51,congress,new,rates,time,big,year,home,house,creek,said
52,time,man,taken,authorities,years,hospital,night,arrested,police,said
53,countries,bush,nations,summit,president,states,said,reagan,united,soviet
54,look,support,world,going,think,american,don,education,school,said
55,companies,people,offers,business,year,new,santa,percent,computer,said
56,university,director,house,president,years,percent,year,people,rural,said
57,people,say,epa,health,report,waste,water,plant,state,said
58,season,national,women,population,don,bushels,new,report,percent,said
59,iran,based,new,market,war,president,year,prices,world,said
60,death,shot,old,killed,killing,shooting,people,state,police,said
61,new,president,country,political,people,group,human,government,rights,said
62,charges,testimony,jury,told,case,walsh,attorney,mecham,north,said
63,degrees,central,high,weather,inches,snow,fair,northern,rain,southern
64,west,time,students,number,virus,east,say,years,aids,said
65,private,program,cost,federal,years,trust,plan,claims,billion,said
66,drug,testimony,trial,judge,defense,north,charges,court,case,said
67,convention,governor,said,presidential,jackson,democratic,republican,campaign,bush,dukakis
68,company,drug,public,workers,lawsuit,tests,court,employees,filed,said
69,washington,day,just,mayor,people,bush,jackson,barry,president,said
70,july,corn,prices,pound,bushel,higher,futures,lower,cent,cents
71,school,woman,son,mother,husband,wife,family,year,mrs,said
72,committee,president,office,house,department,federal,agency,congress,reagan,said
73,school,man,state,home,death,police,years,year,old,said
74,university,school,women,today,think,going,don,says,people,said
75,rebels,north,scale,killed,damage,miles,earthquake,quake,people,said
76,sunday,don,years,day,radio,work,state,people,ms,said
77,disease,treatment,doctors,patients,hospital,care,medical,children,health,said
78,work,employees,travel,job,new,american,said,service,jobs,workers
79,record,states,day,american,people,like,years,world,time,said
80,billion,money,new,program,house,bank,tax,year,million,said
81,panel,meeting,lincoln,deconcini,told,senators,members,keating,committee,said
82,world,tokyo,economic,states,foreign,united,said,japanese,trade,japan
83,population,philippines,did,american,reagan,percent,people,labor,government,said
84,council,federal,business,york,authority,states,year,new,percent,said
85,mr,think,cents,time,dec,president,going,says,state,said
86,french,work,france,energy,nuclear,million,site,department,paris,said
87,spacecraft,telescope,magellan,mission,launch,earth,nasa,shuttle,space,said
88,actor,best,actress,movie,year,film,said,york,john,new
89,came,cabinet,political,asked,party,president,told,government,minister,said
90,domestic,new,sales,company,year,aspirin,billion,orders,million,said
91,angola,troops,government,africa,said,cocaine,drug,south,united,states
92,homes,news,ratings,band,week,time,year,abc,cbs,nbc
93,company,units,ford,corp,chrysler,year,new,sales,said,million
94,winds,miles,police,state,authorities,homes,firefighters,people,officials,said
95,blacks,government,national,mandela,white,apartheid,african,black,africa,south
96,tuesday,people,returns,annunzio,federal,property,taxes,smoking,tax,said
97,bond,point,market,rate,treasury,rates,said,billion,percent,year
98,east,shamir,palestinian,plo,arab,peace,jewish,israeli,said,israel
99,soviets,summit,agreement,reagan,bush,treaty,president,gorbachev,said,soviet
